variable,label_dta,descripcion_diccionario,descripcion_final,aparece_en_anios
C3R2PT,Sueldos y salarios del personal permanente -  Producción - Profesional Tecnólogo,NA,Sueldos y salarios del personal permanente -  Producción - Profesional Tecnólogo,17
C3R31C2,Intereses causados sobre préstamos - Administración y ventas,NA,Intereses causados sobre préstamos - Administración y ventas,17
C3R31C3,Total Intereses causados sobre préstamos,NA,Total Intereses causados sobre préstamos,17
C3R35C1,Total Costos y gastos de producción,NA,Total Costos y gastos de producción,17
C3R35C2,Total Gastos de administración y ventas,NA,Total Gastos de administración y ventas,17
C3R35C3,Total costos de producción administración y ventas,NA,Total costos de producción administración y ventas,17
C3R36C1,Servicios de comunicaciones -Producción,NA,Servicios de comunicaciones -Producción,17
C3R36C2,Servicios de comunicaciones - Administración y ventas,NA,Servicios de comunicaciones - Administración y ventas,17
C3R36C3,Total Servicios de comunicaciones,NA,Total Servicios de comunicaciones,17
C3R37C1,Impuestos de industria y comercio - producción,NA,Impuestos de industria y comercio - producción,17
C3R37C2,Impuestos de industria y comercio - Administración y ventas,NA,Impuestos de industria y comercio - Administración y ventas,17
C3R37C3,Total Impuestos de industria y comercio,NA,Total Impuestos de industria y comercio,17
C3R38C2,Impuesto predial y sobre vehículos - Administración y ventas,NA,Impuesto predial y sobre vehículos - Administración y ventas,17
C3R38C3,Total Impuesto predial y sobre vehículos,NA,Total Impuesto predial y sobre vehículos,17
C3R3C1,Prestaciones sociales del personal permanente - Producción  - Obreros,NA,Prestaciones sociales del personal permanente - Producción  - Obreros,17
C3R3C2,Prestaciones sociales del personal permanente - Administrativos,NA,Prestaciones sociales del personal permanente - Administrativos,17
C3R3C3,Total  Prestaciones sociales del personal permanente,NA,Total  Prestaciones sociales del personal permanente,17
C3R3PT,Prestaciones sociales del personal permanente - Producción  - Profesional Tecnól,NA,Prestaciones sociales del personal permanente - Producción  - Profesional Tecnól,17
C3R40C2,"Costo de venta de materias primas, materiales y empaques vendidos sin transforma",NA,"Costo de venta de materias primas, materiales y empaques vendidos sin transforma",17
C3R40C3,"Total Costo de venta de materias primas, materiales y empaques vendidos sin tran",NA,"Total Costo de venta de materias primas, materiales y empaques vendidos sin tran",17
C3R41C1,Costos y gastos por servicios contratados con terceros (outsoursing)- Producción,NA,Costos y gastos por servicios contratados con terceros (outsoursing)- Producción,17
C3R41C2,Costos y gastos por servicios contratados con terceros (outsoursing)-  Administr,NA,Costos y gastos por servicios contratados con terceros (outsoursing)-  Administr,17
C3R41C3,Total Costos y gastos por servicios contratados con terceros (outsoursing),NA,Total Costos y gastos por servicios contratados con terceros (outsoursing),17
C3R42C1,Costos y gastos de transporte de materias primas - Producción,NA,Costos y gastos de transporte de materias primas - Producción,17
C3R42C2,Costos y gastos de transporte de materias primas - Administración y ventas,NA,Costos y gastos de transporte de materias primas - Administración y ventas,17
C3R42C3,Total Costos y gastos de transporte de materias primas,NA,Total Costos y gastos de transporte de materias primas,17
C3R44C2,Costo de venta de productos no fabricados por el establecimiento - Administrativ,NA,Costo de venta de productos no fabricados por el establecimiento - Administrativ,17
C3R44C3,Total Costo de venta de productos no fabricados por el establecimiento,NA,Total Costo de venta de productos no fabricados por el establecimiento,17
C3R45C2,Costos y gastos de transporte de productos - Administración y ventas,NA,Costos y gastos de transporte de productos - Administración y ventas,17
C3R45C3,Total Costos y gastos de transporte de productos,NA,Total Costos y gastos de transporte de productos,17
C3R46C2,Gastos financieros - Administración y ventas,NA,Gastos financieros - Administración y ventas,17
C3R46C3,Total Gastos financieros,NA,Total Gastos financieros,17
C3R4C1,"Sueldos, salarios y prestaciones sociales del personal contratado directamente",NA,"Sueldos, salarios y prestaciones sociales del personal contratado directamente",17
C3R4C2,"Sueldos, salarios y prestaciones sociales del personal contratado directamente",NA,"Sueldos, salarios y prestaciones sociales del personal contratado directamente",17
C3R4C3,"Total  Sueldos, salarios y prestaciones sociales del personal contratado directa",NA,"Total  Sueldos, salarios y prestaciones sociales del personal contratado directa",17
C3R4PT,"Sueldos, salarios y prestaciones sociales del personal contratado directamente",NA,"Sueldos, salarios y prestaciones sociales del personal contratado directamente",17
C3R5C1,"Cotizaciones patronales obligatorias, salud, ARP y pensión del personal ocupado",NA,"Cotizaciones patronales obligatorias, salud, ARP y pensión del personal ocupado",17
C3R5C2,"Cotizaciones patronales obligatorias, salud, ARP y pensión del personal ocupado",NA,"Cotizaciones patronales obligatorias, salud, ARP y pensión del personal ocupado",17
C3R5C3,"Total  Cotizaciones patronales obligatorias, salud, ARP y pensión del personal o",NA,"Total  Cotizaciones patronales obligatorias, salud, ARP y pensión del personal o",17
C3R5PT,"Cotizaciones patronales obligatorias, salud, ARP y pensión del personal ocupado",NA,"Cotizaciones patronales obligatorias, salud, ARP y pensión del personal ocupado",17
C3R6C1,"Aportes sobre nómina (SENA, cajas de compensación familiar, ICBF)  - Producción",NA,"Aportes sobre nómina (SENA, cajas de compensación familiar, ICBF)  - Producción",17
C3R6C2,"Aportes sobre nómina (SENA, cajas de compensación familiar, ICBF)  - Administrat",NA,"Aportes sobre nómina (SENA, cajas de compensación familiar, ICBF)  - Administrat",17
C3R6C3,"Total  Aportes sobre nómina (SENA, cajas de compensación familiar, ICBF)",NA,"Total  Aportes sobre nómina (SENA, cajas de compensación familiar, ICBF)",17
C3R6PT,"Aportes sobre nómina (SENA, cajas de compensación familiar, ICBF)  - Producción",NA,"Aportes sobre nómina (SENA, cajas de compensación familiar, ICBF)  - Producción",17
C3R7C1,Aportes voluntarios a compañías de seguros de vida que ampara al personal ocupad,NA,Aportes voluntarios a compañías de seguros de vida que ampara al personal ocupad,17
C3R7C2,Aportes voluntarios a compañías de seguros de vida que ampara al personal ocupad,NA,Aportes voluntarios a compañías de seguros de vida que ampara al personal ocupad,17
C3R7C3,Total  Aportes voluntarios a compañías de seguros de vida que ampara al personal,NA,Total  Aportes voluntarios a compañías de seguros de vida que ampara al personal,17
C3R7PT,Aportes voluntarios a compañías de seguros de vida que ampara al personal ocupad,NA,Aportes voluntarios a compañías de seguros de vida que ampara al personal ocupad,17
C3R8C1,Valor causado por las empresas que suministran personal temporal al establecimie,NA,Valor causado por las empresas que suministran personal temporal al establecimie,17
C3R8C2,Valor causado por las empresas que suministran personal temporal al establecimie,NA,Valor causado por las empresas que suministran personal temporal al establecimie,17
C3R8C3,Total  Valor causado por las empresas que suministran personal temporal al estab,NA,Total  Valor causado por las empresas que suministran personal temporal al estab,17
C3R8PT,Valor causado por las empresas que suministran personal temporal al establecimie,NA,Valor causado por las empresas que suministran personal temporal al establecimie,17
C3R9C1,Otros gastos del personal no incluidos antes  - Producción  - Obreros,NA,Otros gastos del personal no incluidos antes  - Producción  - Obreros,17
C3R9C2,Otros gastos del personal no incluidos antes  - Administrativos,NA,Otros gastos del personal no incluidos antes  - Administrativos,17
C3R9C3,Total  Otros gastos del personal no incluidos antes,NA,Total  Otros gastos del personal no incluidos antes,17
C3R9PT,Otros gastos del personal no incluidos antes  - Producción  - Profesional Tecnól,NA,Otros gastos del personal no incluidos antes  - Producción  - Profesional Tecnól,17
C4R1C1,"Propietarios, socios y familiares (sin remuneración fija) Mujer - Producción -",NA,"Propietarios, socios y familiares (sin remuneración fija) Mujer - Producción -",17
C4R1C10N,Total Personal Ocupado  - Hombre -  Producción - Producción - Profesional Tecnól,NA,Total Personal Ocupado  - Hombre -  Producción - Producción - Profesional Tecnól,17
