fuente,variable,presencia_en_archivos
EAM,bagaco_9,1
EAM,bagav,1
EAM,bagav_10,1
EAM,bagav_11,1
EAM,bagav_12,1
EAM,bagav_13,1
EAM,bagav_14,1
EAM,bagav_15,1
EAM,bagav_16,1
EAM,bagav_17,1
EAM,bagav_18,1
EAM,bagav_19,1
EAM,bagav_2,1
EAM,bagav_20,1
EAM,bagav_21,1
EAM,bagav_22,1
EAM,bagav_23,1
EAM,bagav_24,1
EAM,bagav_25,1
EAM,bagav_26,1
EAM,bagav_27,1
EAM,bagav_28,1
EAM,bagav_29,1
EAM,bagav_3,1
EAM,bagav_30,1
EAM,bagav_31,1
EAM,bagav_32,1
EAM,bagav_33,1
EAM,bagav_34,1
EAM,bagav_35,1
EAM,bagav_36,1
EAM,bagav_37,1
EAM,bagav_38,1
EAM,bagav_39,1
EAM,bagav_4,1
EAM,bagav_40,1
EAM,bagav_41,1
EAM,bagav_42,1
EAM,bagav_5,1
EAM,bagav_6,1
EAM,bagav_7,1
EAM,bagav_8,1
EAM,bagav_9,1
EAM,c2r5cert,1
EAM,c2r5cert_10,1
EAM,c2r5cert_11,1
EAM,c2r5cert_12,1
EAM,c2r5cert_13,1
EAM,c2r5cert_14,1
EAM,c2r5cert_15,1
EAM,c2r5cert_16,1
EAM,c2r5cert_17,1
EAM,c2r5cert_18,1
EAM,c2r5cert_19,1
EAM,c2r5cert_2,1
EAM,c2r5cert_20,1
EAM,c2r5cert_21,1
EAM,c2r5cert_22,1
EAM,c2r5cert_23,1
EAM,c2r5cert_24,1
EAM,c2r5cert_25,1
EAM,c2r5cert_26,1
EAM,c2r5cert_27,1
EAM,c2r5cert_28,1
EAM,c2r5cert_29,1
EAM,c2r5cert_3,1
EAM,c2r5cert_30,1
EAM,c2r5cert_31,1
EAM,c2r5cert_32,1
EAM,c2r5cert_33,1
EAM,c2r5cert_34,1
EAM,c2r5cert_35,1
EAM,c2r5cert_36,1
EAM,c2r5cert_37,1
EAM,c2r5cert_38,1
EAM,c2r5cert_39,1
EAM,c2r5cert_4,1
EAM,c2r5cert_40,1
EAM,c2r5cert_41,1
EAM,c2r5cert_42,1
EAM,c2r5cert_5,1
EAM,c2r5cert_6,1
EAM,c2r5cert_7,1
EAM,c2r5cert_8,1
EAM,c2r5cert_9,1
EAM,c3r10c1,1
EAM,c3r10c1_10,1
EAM,c3r10c1_11,1
