quintil,ANIO,salario_obrero_sobre_minimo,costo_sobre_costo_minimo,firmas
Q1 (menos expuestas),2015,1.8179930309983852,2.381860840117436,965
Q1 (menos expuestas),2016,1.8201448769116348,2.3904968573792527,979
Q1 (menos expuestas),2017,1.84593173497356,2.3391055892982293,991
Q1 (menos expuestas),2018,1.9172562993711721,2.3858821927203553,1000
Q1 (menos expuestas),2019,1.94748280031622,2.4397014679928972,1001
Q1 (menos expuestas),2021,2.123425215950797,2.494926427054236,1010
Q1 (menos expuestas),2022,2.25111201609693,2.506043376519825,1020
Q1 (menos expuestas),2023,2.043409961685824,2.361784219457456,1003
Q1 (menos expuestas),2024,1.9935955710955713,2.257056745730212,978
Q2,2015,1.5066449976886034,1.8870331597569807,963
Q2,2016,1.4794294043846226,1.8980520954412814,984
Q2,2017,1.4843795320570687,1.894627260322526,995
Q2,2018,1.4902552602138646,1.8921331011382172,1002
Q2,2019,1.5048794664853595,1.9453038822844189,1004
Q2,2021,1.5725599738554732,1.9319765154163016,1012
Q2,2022,1.6140413812785388,1.942457922995597,1022
Q2,2023,1.5233477011494252,1.8410776720820072,1003
Q2,2024,1.467622084991158,1.804335384467287,979
Q3,2015,1.3216160989110475,1.6983411133120452,968
Q3,2016,1.3208673103082456,1.6913025121315572,983
Q3,2017,1.3153380255873488,1.653143137427485,994
Q3,2018,1.3206524568144913,1.7027893653426438,1001
Q3,2019,1.3135037928797952,1.6536119725426872,1002
Q3,2021,1.3371924128468247,1.6750900328119291,1016
Q3,2022,1.347141975308642,1.6895759893966107,1017
Q3,2023,1.2988771817794806,1.6069013036774566,998
Q3,2024,1.282480342724908,1.5771307344200163,951
Q4,2015,1.199418387670114,1.5043613334343469,959
Q4,2016,1.2025820975688988,1.5026982542775693,985
Q4,2017,1.1889721939442903,1.4954888632466083,992
Q4,2018,1.1959322463462025,1.4846442458948297,999
Q4,2019,1.19112192642149,1.4805228799109207,1004
Q4,2021,1.1837069840913428,1.4659592860065904,1011
Q4,2022,1.1626633597883598,1.4383889257242586,1020
Q4,2023,1.1316848154869932,1.3929650558746802,993
Q4,2024,1.1388568376068378,1.389054918639261,939
Q5 (más expuestas),2015,1.1177599416792932,1.3791342023517723,951
Q5 (más expuestas),2016,1.1366284997268892,1.3604619007546233,986
Q5 (más expuestas),2017,1.1144634473007684,1.3565319988493716,996
Q5 (más expuestas),2018,1.0974674178416395,1.3323079247613439,1008
Q5 (más expuestas),2019,1.0773574382902271,1.3327783204845813,999
Q5 (más expuestas),2021,1.0578031522121178,1.330014714299232,1011
Q5 (más expuestas),2022,1.0054073232323233,1.226735563109544,1020
Q5 (más expuestas),2023,1.0344827586206897,1.2444519856776561,983
Q5 (más expuestas),2024,1.0526584378977997,1.2555088363817588,934
