quintil,firmas,kaitz_promedio,empleo_mediana,ventas_mediana,valor_agregado_mediana,productividad_mediana,costo_laboral_sobre_va,pct_permanente,pct_obreros,pct_pequenas
Q1 (menos expuestas),1020,0.48968673141245694,135,52719479,21834046.5,150636.85619887162,31.48676090493131,68.93905781736126,29.076568592697626,26.27450980392157
Q2,1022,0.716353764485539,70,14158589,6263938,93244.27597402598,40.10709800155615,81.77735438214481,38.950942972608885,39.726027397260275
Q3,1017,0.8608800193804381,42,6494104,2768974,66408.97959183673,47.83677816157056,92.88537549407114,45.45454545454545,53.687315634218294
Q4,1020,0.9988815921045636,30,3370866,1406847,53645.13471177945,51.42709515880782,95.83333333333333,50,64.70588235294117
Q5 (más expuestas),1020,1.1892409494327756,22,2118149.5,972222.5,42348.1936936937,56.40683701325578,98.38709677419355,59.228627123363964,75.68627450980392
