ANIO,firmas,empleo_total_muestra,empleo_mediana,ventas_mediana,produccion_mediana,valor_agregado_mediana,salario_mediana,productividad_mediana
2015,4806,100,100,100,100,100,100,100
2016,4917,104.8,104.8,102.8,101.9,106.9,106.8,105.7
2017,4968,106.5,104.8,101.3,101.5,105.7,113.4,105.2
2018,5010,107.4,107.1,109.6,108.5,112.3,120.6,109
2019,5010,108.8,109.5,114.2,115.3,119.8,128.2,116.8
2021,5060,109.4,104.8,129.1,129,131.6,142.4,134.8
2022,5099,116,107.1,162.4,162.5,160.9,156.8,157.4
2023,4980,114.8,109.5,167.2,166.7,178.6,173,167.5
2024,4781,113.6,114.3,175.2,175.3,191.4,190.7,171.1
