exposicion,ANIO,firmas,pct_usa_terceros,pct_usa_agencias,pct_tiene_temporales_agencia,terceros_si_usa,agencias_si_usa
Baja exposición,2015,2412,35.61359867330017,49.46102819237147,48.79767827529022,0.4728474815484737,10.227100202841342
Baja exposición,2016,2454,38.18255908720457,50,49.1442542787286,0.5213271231409958,9.939710127031658
Baja exposición,2017,2483,38.09907370116794,51.06725734997987,50.38260169150222,0.5058056534980402,8.393242079093458
Baja exposición,2018,2504,41.054313099041536,51.837060702875405,50.99840255591054,0.4892975921431928,8.560294721295163
Baja exposición,2019,2510,41.67330677290836,52.74900398406375,51.79282868525896,0.47349923636816993,8.629823598900302
Baja exposición,2021,2529,40.76710162119414,52.51087386318704,51.95729537366548,0.43997095440884104,7.751770451345259
Baja exposición,2022,2550,41.294117647058826,53.333333333333336,52.431372549019606,0.40239395530359046,8.927054127263222
Baja exposición,2023,2506,39.904229848363926,52.75339185953711,51.4365522745411,0.4374329296874419,8.074065885284826
Baja exposición,2024,2437,39.96717275338531,51.169470660648344,49.40500615510874,0.5275918684674454,7.717125792709522
Alta exposición,2015,2394,19.423558897243108,22.598162071846282,22.22222222222222,0.5909090909090909,15.947140475755061
Alta exposición,2016,2463,19.97563946406821,23.304912708079577,22.98010556232237,0.6324755301084706,14.866851403327885
Alta exposición,2017,2485,19.798792756539235,23.219315895372233,22.816901408450704,0.6893104712045823,12.785838834974808
Alta exposición,2018,2506,20.83000798084597,22.86512370311253,22.266560255387073,0.7246594237873121,12.128791526882601
Alta exposición,2019,2500,21.68,22.2,21.279999999999998,0.7955486521108669,11.571399643589313
Alta exposición,2021,2531,20.82180956143817,19.95258790991703,19.5574871592256,0.7389318113317445,11.937621008355121
Alta exposición,2022,2549,18.830914083954493,19.223224794036877,18.713220870929774,0.8804201405303725,12.424975276635152
Alta exposición,2023,2474,20.978172999191592,20.6143896523848,19.805982215036376,0.723080930240374,11.892236148184208
Alta exposición,2024,2344,20.00853242320819,20.22184300341297,19.667235494880547,0.7192580065956754,10.710544000467491
