variable,prueba,estimate,std_error,p_value,significativo,n_obs
asinh_C3R23C3,tendencia_cuadratica,0.144733,0.040395,3.429e-4,TRUE,44627
asinh_VALORVEN,tendencia_cuadratica,0.069259,0.013526,3.164e-7,TRUE,44627
