anio_excluido,estimate,std_error,p_value,significativo,n_obs
2015,-0.976189,0.505941,0.05373,FALSE,44467
2016,-0.915404,0.469314,0.05117,FALSE,44318
2017,-0.967849,0.459458,0.03521,TRUE,44268
2018,-0.944783,0.469877,0.04441,TRUE,44215
2019,-0.95606,0.469592,0.04181,TRUE,44224
2021,-1.040211,0.518562,0.04491,TRUE,44221
2022,-0.638256,0.554753,0.25,FALSE,44181
2023,-1.294642,0.528184,0.01427,TRUE,44285
2024,-0.681658,0.506811,0.1787,FALSE,44501
