medida,muestra,variable,estimate,std_error,p_value,significativo,n_obs,nota,controles,con_tendencia
Bite2022_obreros,Balanceada (181),empleo_temporal,1.19317,3.043585,0.6955,FALSE,5851,NA,FALSE,TRUE
Bite2022_obreros,Balanceada (181),participacion_permanente,3.018879,1.28656,0.0201,TRUE,5815,NA,FALSE,FALSE
Bite2022_obreros,Balanceada (181),participacion_permanente,-0.560352,46004.222713,1,FALSE,5815,NA,TRUE,FALSE
Bite2022_obreros,Balanceada (181),participacion_permanente,-0.560352,46004.222713,1,FALSE,5815,NA,TRUE,TRUE
Bite2022_obreros,Balanceada (181),participacion_permanente,0.792472,1.291712,0.5404,FALSE,5815,NA,FALSE,TRUE
Bite2022_obreros,No balanceada (262),empleo_total,-8.256926,5.450449,0.1311,FALSE,7218,NA,FALSE,FALSE
Bite2022_obreros,No balanceada (262),empleo_total,35.089469,154474.12839,0.9998,FALSE,7018,NA,TRUE,FALSE
Bite2022_obreros,No balanceada (262),empleo_total,35.089469,154474.12839,0.9998,FALSE,7018,NA,TRUE,TRUE
Bite2022_obreros,No balanceada (262),empleo_total,2.622061,5.439081,0.6302,FALSE,7218,NA,FALSE,TRUE
Bite2022_obreros,No balanceada (262),empleo_permanente,-0.813777,3.551849,0.819,FALSE,7218,NA,FALSE,FALSE
Bite2022_obreros,No balanceada (262),empleo_permanente,3.734732,879943.393465,1,FALSE,7018,NA,TRUE,FALSE
Bite2022_obreros,No balanceada (262),empleo_permanente,3.734732,879943.393465,1,FALSE,7018,NA,TRUE,TRUE
Bite2022_obreros,No balanceada (262),empleo_permanente,-1.149329,3.774179,0.761,FALSE,7218,NA,FALSE,TRUE
Bite2022_obreros,No balanceada (262),empleo_temporal,-7.000182,3.793817,0.06621,FALSE,7218,NA,FALSE,FALSE
Bite2022_obreros,No balanceada (262),empleo_temporal,4.779867,739133.633467,1,FALSE,7018,NA,TRUE,FALSE
Bite2022_obreros,No balanceada (262),empleo_temporal,4.779867,739133.633467,1,FALSE,7018,NA,TRUE,TRUE
Bite2022_obreros,No balanceada (262),empleo_temporal,3.4277860000000002,2.91547,0.2408,FALSE,7218,NA,FALSE,TRUE
Bite2022_obreros,No balanceada (262),participacion_permanente,3.231773,1.277785,0.01206,TRUE,7175,NA,FALSE,FALSE
Bite2022_obreros,No balanceada (262),participacion_permanente,NA,NA,NA,NA,6970,NA,TRUE,FALSE
Bite2022_obreros,No balanceada (262),participacion_permanente,NA,NA,NA,NA,6970,NA,TRUE,TRUE
Bite2022_obreros,No balanceada (262),participacion_permanente,-0.022295,1.110722,0.984,FALSE,7175,NA,FALSE,TRUE
