categoria,firmas,pct_bajo_1_5_minimos,pct_bajo_2_minimos,mediana_veces_minimo
w_administrativo,5506,15.128950236106068,27.860515800944423,3.0113739149409344
w_obreros,5099,55.05000980584428,81.13355559913708,1.4419411945812808
w_profesional,3535,14.85148514851485,32.53182461103253,2.5723419540229884
