metrica,valor
"% incoherente, base mixta (C2+C4)",34.9
"% incoherente, poblaciones emparejadas (solo C2/permanentes)",51.24
"De las incoherentes en base mixta, % que se resuelve con poblaciones emparejadas",0.75
