criterio,valor_observado,umbral,cumple
Mediana 2008-2012 cerca de 0.09 (+/-0.01),0.09,0.08 - 0.10,TRUE
SD se al menos duplica 2013-2024 vs 2008-2012,4.77,>= 2.0x,TRUE
