ANIO,n_firmas,salario_promedio_c3r10_mediana,salario_promedio_suma_r1_r9_mediana,diferencia_pct_mediana,diferencia_pct_p10,diferencia_pct_p90
2022,6174,30964.5,29354.8,1.33,0,16.47
2023,6112,34376.8,33121,1.1,0,15.1
