especificacion,incremento_2022_2023_exposure,incremento_tipico_2016_2019_exposure,contraste_exposure,se_contraste_exposure,t_stat_exposure,df_exposure,p_value_exposure,atipico_al_5pct_exposure,incremento_2022_2023_bite,incremento_tipico_2016_2019_bite,contraste_bite,se_contraste_bite,t_stat_bite,df_bite,p_value_bite,atipico_al_5pct_bite
Sin controles,0.015994,0.008711,0.007283,8.02e-4,9.076,6178,1.485e-19,TRUE,0.041953,0.018754,0.023198,0.002327,9.968,5097,3.434e-23,TRUE
Con sector*anio + tamano*anio + departamento*anio,-0.002405,-0.001347,-0.001058,0.003634,-0.291,6178,0.7709,FALSE,0.044391,-0.006454,0.050845,0.00872,5.831,5097,5.846e-9,TRUE
