especificacion,efectos_fijos,controles,variable_cluster,n_clusters,n_obs,n_obs_reconstruido_coincide,ventana,filtro_muestra,variable_exposicion,outcome
Sin controles,NORDEST,Ninguno,NORDEMP,6220,58857,FALSE,"2015-2024 (2020 excluido) -- COMPLETA, no solo pre-choque","Exposure2022_obreros_est (establecimiento) no NA, CIIU4 no NA, DPTO_fijo no NA, tamano_empresa no NA, salario_promedio no NA","Exposure2022_obreros_est (ESTABLECIMIENTO, no firma), continua, escalada a 10pp, unida DIRECTO por NORDEST","asinh(salario_promedio) = asinh(costo_laboral_total / empleo_total), SIN deflactar (ANIO_F absorbe tendencia de precios)"
Con sector*anio + tamano*anio + departamento*anio,NORDEST + CIIU4^ANIO_F + tamano_empresa^ANIO_F + DPTO_fijo^ANIO_F,"sector (CIIU4) x anio, tamano_empresa x anio, departamento (DPTO_fijo) x anio",NORDEMP,6220,58856,FALSE,"2015-2024 (2020 excluido) -- COMPLETA, no solo pre-choque","Exposure2022_obreros_est (establecimiento) no NA, CIIU4 no NA, DPTO_fijo no NA, tamano_empresa no NA, salario_promedio no NA","Exposure2022_obreros_est (ESTABLECIMIENTO, no firma), continua, escalada a 10pp, unida DIRECTO por NORDEST","asinh(salario_promedio) = asinh(costo_laboral_total / empleo_total), SIN deflactar (ANIO_F absorbe tendencia de precios)"
