variable,efectos_fijos,controles,variable_cluster,n_clusters,n_obs,n_obs_reconstruido_coincide,ventana,filtro_muestra,variable_exposicion
empleo_total,NORDEST + CIIU4^ANIO_F + DPTO^ANIO_F,"sector (CIIU4) x anio, departamento (DPTO) x anio",NORDEMP,6137,32475,FALSE,"2015-2019 (pre-choque, NO ampliada)","Exposure2022_obreros_est no NA, CIIU4 no NA, DPTO no NA; sin exclusion de firmas atipicas","Exposure2022_obreros_est (establecimiento), continua, escalada a 10pp"
empleo_permanente,NORDEST + CIIU4^ANIO_F + DPTO^ANIO_F,"sector (CIIU4) x anio, departamento (DPTO) x anio",NORDEMP,6137,32475,FALSE,"2015-2019 (pre-choque, NO ampliada)","Exposure2022_obreros_est no NA, CIIU4 no NA, DPTO no NA; sin exclusion de firmas atipicas","Exposure2022_obreros_est (establecimiento), continua, escalada a 10pp"
empleo_temporal,NORDEST + CIIU4^ANIO_F + DPTO^ANIO_F,"sector (CIIU4) x anio, departamento (DPTO) x anio",NORDEMP,6137,32475,FALSE,"2015-2019 (pre-choque, NO ampliada)","Exposure2022_obreros_est no NA, CIIU4 no NA, DPTO no NA; sin exclusion de firmas atipicas","Exposure2022_obreros_est (establecimiento), continua, escalada a 10pp"
participacion_permanente,NORDEST + CIIU4^ANIO_F + DPTO^ANIO_F,"sector (CIIU4) x anio, departamento (DPTO) x anio",NORDEMP,6137,32461,FALSE,"2015-2019 (pre-choque, NO ampliada)","Exposure2022_obreros_est no NA, CIIU4 no NA, DPTO no NA; sin exclusion de firmas atipicas","Exposure2022_obreros_est (establecimiento), continua, escalada a 10pp"
