especificacion,n_obs,n_establecimientos,n_firmas,f_stat,df1,df2,p_value
Sin controles,49854,5911,5099,807.043,8,5097,0
Con sector*anio + tamano*anio + departamento*anio,49851,5911,5099,10.536,8,5097,8.994e-15
