especificacion,incremento_2022_2023,incremento_tipico_2016_2019,contraste,se_contraste,t_stat,df,p_value,atipico_al_5pct
Sin controles,0.015994,0.008711,0.007283,8.02e-4,9.076,6178,1.485e-19,TRUE
Con sector*anio + tamano*anio + departamento*anio,-0.002405,-0.001347,-0.001058,0.003634,-0.291,6178,0.7709,FALSE
