especificacion,n_obs,n_establecimientos,n_firmas,f_stat,df1,df2,p_value
Sin controles,59412,7018,6180,1849.014,8,6178,0
Con sector*anio + tamano*anio + departamento*anio,59411,7018,6180,2.136,8,6178,0.02939
