variable,medida,term,estimate,std.error,statistic,p.value,conf.low,conf.high,grupo_base_omitido
asinh_VALORVEN,Exposure2022_obreros,ANIO_F::2017:exposicion_10pp,0.005174,0.001375,3.7632,1.694e-4,0.002479,0.00787,2015 (ref.); Exposure2022_obreros; especificacion: Sin controles
asinh_VALORVEN,Exposure2022_obreros,ANIO_F::2018:exposicion_10pp,0.01181,0.001454,8.1212,5.54e-16,0.008959,0.01466,2015 (ref.); Exposure2022_obreros; especificacion: Sin controles
asinh_VALORVEN,Exposure2022_obreros,ANIO_F::2019:exposicion_10pp,0.018602,0.001678,11.0883,2.665e-28,0.015313,0.021891,2015 (ref.); Exposure2022_obreros; especificacion: Sin controles
asinh_VALORVEN,Exposure2022_obreros,ANIO_F::2016:exposicion_10pp,-5.16e-4,0.0041,-0.1259,0.8998,-0.008554,0.007521,2015 (ref.); Exposure2022_obreros; especificacion: Con sector*anio + tamano*anio
asinh_VALORVEN,Exposure2022_obreros,ANIO_F::2017:exposicion_10pp,-5.71e-4,0.004228,-0.1351,0.8925,-0.008859,0.007716,2015 (ref.); Exposure2022_obreros; especificacion: Con sector*anio + tamano*anio
asinh_VALORVEN,Exposure2022_obreros,ANIO_F::2018:exposicion_10pp,-0.00685,0.004428,-1.547,0.1219,-0.015531,0.001831,2015 (ref.); Exposure2022_obreros; especificacion: Con sector*anio + tamano*anio
asinh_VALORVEN,Exposure2022_obreros,ANIO_F::2019:exposicion_10pp,-0.007552,0.004836,-1.5616,0.1184,-0.017031,0.001928,2015 (ref.); Exposure2022_obreros; especificacion: Con sector*anio + tamano*anio
asinh_C3R23C3,Bite2022_obreros,ANIO_F::2016:bite_1sd,0.017351,0.008142,2.1309,0.03314,0.001388,0.033313,2015 (ref.); Bite2022_obreros; especificacion: Sin controles
asinh_C3R23C3,Bite2022_obreros,ANIO_F::2017:bite_1sd,0.02836,0.009288,3.0534,0.002274,0.010151,0.046568,2015 (ref.); Bite2022_obreros; especificacion: Sin controles
asinh_C3R23C3,Bite2022_obreros,ANIO_F::2018:bite_1sd,0.025413,0.009645,2.6349,0.008442,0.006505,0.04432,2015 (ref.); Bite2022_obreros; especificacion: Sin controles
asinh_C3R23C3,Bite2022_obreros,ANIO_F::2019:bite_1sd,0.047056,0.010094,4.6619,3.214e-6,0.027268,0.066844,2015 (ref.); Bite2022_obreros; especificacion: Sin controles
asinh_C3R23C3,Bite2022_obreros,ANIO_F::2016:bite_1sd,0.011383,0.036608,0.3109,0.7559,-0.060385,0.08315,2015 (ref.); Bite2022_obreros; especificacion: Con sector*anio + tamano*anio
asinh_C3R23C3,Bite2022_obreros,ANIO_F::2017:bite_1sd,0.038377,0.046706,0.8217,0.4113,-0.053187,0.12994,2015 (ref.); Bite2022_obreros; especificacion: Con sector*anio + tamano*anio
asinh_C3R23C3,Bite2022_obreros,ANIO_F::2018:bite_1sd,-2.09e-4,0.045925,-0.0045,0.9964,-0.090242,0.089824,2015 (ref.); Bite2022_obreros; especificacion: Con sector*anio + tamano*anio
asinh_C3R23C3,Bite2022_obreros,ANIO_F::2019:bite_1sd,-0.011488,0.051198,-0.2244,0.8225,-0.111858,0.088883,2015 (ref.); Bite2022_obreros; especificacion: Con sector*anio + tamano*anio
asinh_C3R41C3,Bite2022_obreros,ANIO_F::2016:bite_1sd,0.064222,0.021864,2.9373,0.003326,0.021359,0.107085,2015 (ref.); Bite2022_obreros; especificacion: Sin controles
asinh_C3R41C3,Bite2022_obreros,ANIO_F::2017:bite_1sd,0.06271,0.023823,2.6323,0.008507,0.016006,0.109414,2015 (ref.); Bite2022_obreros; especificacion: Sin controles
asinh_C3R41C3,Bite2022_obreros,ANIO_F::2018:bite_1sd,0.127307,0.025738,4.9463,7.812e-7,0.076849,0.177765,2015 (ref.); Bite2022_obreros; especificacion: Sin controles
asinh_C3R41C3,Bite2022_obreros,ANIO_F::2019:bite_1sd,0.155969,0.026178,5.9579,2.729e-9,0.104648,0.20729,2015 (ref.); Bite2022_obreros; especificacion: Sin controles
asinh_C3R41C3,Bite2022_obreros,ANIO_F::2016:bite_1sd,-0.08935,0.062886,-1.4208,0.1554,-0.212635,0.033934,2015 (ref.); Bite2022_obreros; especificacion: Con sector*anio + tamano*anio
asinh_C3R41C3,Bite2022_obreros,ANIO_F::2017:bite_1sd,-0.068341,0.070547,-0.9687,0.3327,-0.206643,0.069962,2015 (ref.); Bite2022_obreros; especificacion: Con sector*anio + tamano*anio
asinh_C3R41C3,Bite2022_obreros,ANIO_F::2018:bite_1sd,-0.133474,0.082606,-1.6158,0.1062,-0.295417,0.028469,2015 (ref.); Bite2022_obreros; especificacion: Con sector*anio + tamano*anio
asinh_C3R41C3,Bite2022_obreros,ANIO_F::2019:bite_1sd,-0.173015,0.078014,-2.2177,0.02662,-0.325956,-0.020073,2015 (ref.); Bite2022_obreros; especificacion: Con sector*anio + tamano*anio
asinh_C7R10C2,Bite2022_obreros,ANIO_F::2016:bite_1sd,-0.031214,0.026898,-1.1605,0.2459,-0.083947,0.021518,2015 (ref.); Bite2022_obreros; especificacion: Sin controles
asinh_C7R10C2,Bite2022_obreros,ANIO_F::2017:bite_1sd,-0.169062,0.029159,-5.7979,7.124e-9,-0.226226,-0.111897,2015 (ref.); Bite2022_obreros; especificacion: Sin controles
