especificacion,incremento_2022_2023,incremento_tipico_2016_2019,contraste,se_contraste,t_stat,df,p_value,atipico_al_5pct
Sin controles,0.041953,0.018754,0.023198,0.002327,9.968,5097,3.434e-23,TRUE
Con sector*anio + tamano*anio + departamento*anio,0.044391,-0.006454,0.050845,0.00872,5.831,5097,5.846e-9,TRUE
