NORDEMP,n_establecimientos_con_exposicion,exposicion_min,exposicion_max,rango_max_menos_min,desviacion_estandar,n_departamentos_distintos
145424,3,0.3076923076923077,0.5,0.1923,0.0963,1
984473,2,0.07692307692307693,0.2691131498470948,0.1922,0.1359,2
979143,5,0.3333333333333333,0.5254237288135594,0.1921,0.0761,3
983901,2,0.4673913043478261,0.6571428571428571,0.1898,0.1342,2
987003,2,0.5323741007194245,0.7209302325581395,0.1886,0.1333,2
981704,2,0.635593220338983,0.8198874296435272,0.1843,0.1303,2
141550,2,0.7619047619047619,0.9452054794520548,0.1833,0.1296,2
984279,9,0,0.18181818181818182,0.1818,0.0732,7
977412,3,0.4607142857142857,0.6365853658536585,0.1759,0.1015,2
978384,3,0.4607142857142857,0.6365853658536585,0.1759,0.1004,3
975709,2,0.207035175879397,0.3793103448275862,0.1723,0.1218,2
142370,3,0.45454545454545453,0.625,0.1705,0.0857,3
980665,3,0.5340501792114696,0.704225352112676,0.1702,0.0955,1
866769,2,0.3880597014925373,0.5578947368421052,0.1698,0.1201,2
146353,2,0.5185185185185185,0.6875,0.169,0.1195,1
367103,2,0.3333333333333333,0.5,0.1667,0.1179,1
867302,3,0.8333333333333334,1,0.1667,0.0962,2
141530,4,0.49,0.6561264822134387,0.1661,0.0788,4
973597,2,0.7123287671232876,0.875,0.1627,0.115,2
983881,3,0.5,0.6626506024096386,0.1627,0.0929,3
986592,3,0.3890909090909091,0.55,0.1609,0.0891,3
979155,4,0.6687116564417178,0.8269230769230769,0.1582,0.0709,3
982131,3,0.638095238095238,0.7961783439490446,0.1581,0.0842,2
982453,5,0.6458333333333334,0.8038095238095239,0.158,0.0682,2
976679,2,0.6129032258064516,0.7692307692307693,0.1563,0.1105,1
986538,2,0.28705882352941176,0.44,0.1529,0.1081,2
986539,2,0.28705882352941176,0.44,0.1529,0.1081,2
977402,2,0.336283185840708,0.4792626728110599,0.143,0.1011,2
975710,4,0.31985294117647056,0.4618181818181818,0.142,0.0681,4
981581,4,0.11904761904761904,0.2583732057416268,0.1393,0.0686,4
